Protein.IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1K-1	Peptides 1K-2	Peptides 1NM-1	Peptides 1NM-2	Peptides 2K-1	Peptides 2K-2	Peptides 2NM-1	Peptides 2NM-2	Peptides 3K-1	Peptides 3K-2	Peptides 3NM-1	Peptides 3NM-2	Peptides 4K-1	Peptides 4K-2	Peptides 4NM-1	Peptides 4NM-2	Razor + unique peptides 1K-1	Razor + unique peptides 1K-2	Razor + unique peptides 1NM-1	Razor + unique peptides 1NM-2	Razor + unique peptides 2K-1	Razor + unique peptides 2K-2	Razor + unique peptides 2NM-1	Razor + unique peptides 2NM-2	Razor + unique peptides 3K-1	Razor + unique peptides 3K-2	Razor + unique peptides 3NM-1	Razor + unique peptides 3NM-2	Razor + unique peptides 4K-1	Razor + unique peptides 4K-2	Razor + unique peptides 4NM-1	Razor + unique peptides 4NM-2	Unique peptides 1K-1	Unique peptides 1K-2	Unique peptides 1NM-1	Unique peptides 1NM-2	Unique peptides 2K-1	Unique peptides 2K-2	Unique peptides 2NM-1	Unique peptides 2NM-2	Unique peptides 3K-1	Unique peptides 3K-2	Unique peptides 3NM-1	Unique peptides 3NM-2	Unique peptides 4K-1	Unique peptides 4K-2	Unique peptides 4NM-1	Unique peptides 4NM-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1K-1	Identification type 1K-2	Identification type 1NM-1	Identification type 1NM-2	Identification type 2K-1	Identification type 2K-2	Identification type 2NM-1	Identification type 2NM-2	Identification type 3K-1	Identification type 3K-2	Identification type 3NM-1	Identification type 3NM-2	Identification type 4K-1	Identification type 4K-2	Identification type 4NM-1	Identification type 4NM-2	Sequence coverage 1K-1 [%]	Sequence coverage 1K-2 [%]	Sequence coverage 1NM-1 [%]	Sequence coverage 1NM-2 [%]	Sequence coverage 2K-1 [%]	Sequence coverage 2K-2 [%]	Sequence coverage 2NM-1 [%]	Sequence coverage 2NM-2 [%]	Sequence coverage 3K-1 [%]	Sequence coverage 3K-2 [%]	Sequence coverage 3NM-1 [%]	Sequence coverage 3NM-2 [%]	Sequence coverage 4K-1 [%]	Sequence coverage 4K-2 [%]	Sequence coverage 4NM-1 [%]	Sequence coverage 4NM-2 [%]	Intensity	Intensity 1K-1	Intensity 1K-2	Intensity 1NM-1	Intensity 1NM-2	Intensity 2K-1	Intensity 2K-2	Intensity 2NM-1	Intensity 2NM-2	Intensity 3K-1	Intensity 3K-2	Intensity 3NM-1	Intensity 3NM-2	Intensity 4K-1	Intensity 4K-2	Intensity 4NM-1	Intensity 4NM-2	LFQ intensity 1K-1	LFQ intensity 1K-2	LFQ intensity 1NM-1	LFQ intensity 1NM-2	LFQ intensity 2K-1	LFQ intensity 2K-2	LFQ intensity 2NM-1	LFQ intensity 2NM-2	LFQ intensity 3K-1	LFQ intensity 3K-2	LFQ intensity 3NM-1	LFQ intensity 3NM-2	LFQ intensity 4K-1	LFQ intensity 4K-2	LFQ intensity 4NM-1	LFQ intensity 4NM-2	MS/MS Count 1K-1	MS/MS Count 1K-2	MS/MS Count 1NM-1	MS/MS Count 1NM-2	MS/MS Count 2K-1	MS/MS Count 2K-2	MS/MS Count 2NM-1	MS/MS Count 2NM-2	MS/MS Count 3K-1	MS/MS Count 3K-2	MS/MS Count 3NM-1	MS/MS Count 3NM-2	MS/MS Count 4K-1	MS/MS Count 4K-2	MS/MS Count 4NM-1	MS/MS Count 4NM-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|B0S6R1|NCKP1_DANRE	sp|B0S6R1|NCKP1_DANRE	26	26	26		1	26	26	26	14	14	17	11	19	20	15	16	22	19	18	18	18	23	21	18	14	14	17	11	19	20	15	16	22	19	18	18	18	23	21	18	14	14	17	11	19	20	15	16	22	19	18	18	18	23	21	18	31.6	31.6	31.6	128.74	1128	1128	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.3	17.6	23.2	16	26.6	24.6	20.9	21.5	28.5	25.1	22	22.4	24.1	28.5	25.4	26.3	160830000	5449500	6388700	9797400	8912500	11182000	14890000	9562500	7197300	16760000	13088000	7381200	8220300	9529100	12833000	8731600	10907000	10160000	8394300	12526000	13973000	10038000	8894600	13854000	10025000	7797000	8913400	8859300	8690200	9006000	8178100	10275000	11452000	8	10	10	11	12	27	16	14	21	21	14	18	20	29	22	8	261				99	7;77;114;118;301;430;431;502;558;776;1396;1444;1559;1607;1680;1824;1865;1912;1945;2039;2200;2333;2358;2359;2360;2629	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	8;78;115;119;306;441;442;514;571;791;1417;1465;1582;1631;1705;1849;1890;1940;1975;2072;2234;2368;2393;2394;2395;2670	115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029;1030;1031;1032;1513;1514;1515;1516;1517;1518;1519;1520;1521;1522;1523;1524;1560;1561;1562;1563;1564;1565;1566;1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580;1581;1582;4014;4015;4016;4017;4018;4019;5674;5675;5676;5677;5678;5679;5680;5681;5682;5683;5684;5685;5686;5687;5688;5689;5690;5691;5692;5693;5694;5695;5696;5697;5698;5699;5700;5701;5702;5703;5704;5705;5706;5707;5708;6516;6517;6518;6519;6520;6521;6522;6523;6524;6525;6526;6527;6528;6529;6530;7303;7304;7305;7306;7307;7308;7309;7310;7311;7312;7313;7314;7315;7316;7317;7318;7319;7320;7321;7322;7323;7324;7325;7326;7327;10174;10175;10176;19099;19100;19101;19102;19103;19641;19642;19643;19644;19645;19646;19647;19648;19649;19650;21162;21163;21164;21165;21166;21167;21168;21169;21878;21879;21880;21881;21882;21883;21884;21885;22801;22802;22803;22804;22805;24618;24619;24620;24621;25069;25070;25071;25072;25073;25074;25075;25076;25077;25078;25079;25080;25081;25082;25083;25084;25085;25086;25087;25088;25089;25598;25599;25600;25601;25602;25603;25604;25605;25606;25607;25608;25609;25610;25611;26086;26087;26088;26089;26090;26091;26092;26093;26094;26095;26096;26097;27315;27316;27317;27318;27319;27320;27321;27322;27323;27324;27325;27326;27327;27328;27329;27330;27331;27332;27333;27334;27335;27336;27337;27338;29285;29286;29287;30834;30835;30836;30837;30838;30839;30840;30841;30842;30843;30844;31167;31168;31169;31170;31171;31172;31173;31174;31175;31176;31177;31178;31179;31180;31181;31182;31183;31184;31185;31186;31187;31188;31189;31190;31191;31192;31193;31194;31195;31196;31197;31198;31199;31200;31201;31202;31203;31204;31205;31206;31207;31208;31209;31210;31211;31212;31213;31214;31215;34877;34878;34879;34880;34881;34882;34883;34884;34885;34886;34887;34888;34889;34890;34891;34892;34893;34894;34895;34896;34897;34898;34899;34900;34901	53;54;55;56;57;58;59;60;61;62;725;726;727;728;729;730;731;1186;1187;1188;1189;1190;1191;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219;1220;1221;1222;1223;3116;3117;4331;4332;4333;4334;4335;4336;4337;4338;4339;4340;4341;4342;4343;4344;4345;4346;4347;4348;4349;4350;4351;4352;4353;5017;5018;5019;5020;5021;5022;5023;5024;5025;5026;5027;5028;5029;5030;5031;5032;5033;5034;5035;5635;5636;5637;5638;5639;5640;5641;5642;5643;5644;5645;5646;5647;5648;5649;5650;5651;5652;5653;7874;15352;15606;15607;15608;15609;15610;15611;15612;16792;17348;17349;17350;17990;19229;19499;19500;19501;19502;19503;19504;19505;19506;19507;19508;19509;19510;19511;19512;19513;19514;19515;19516;19517;19518;19519;19520;19521;19522;19890;19891;19892;19893;19894;19895;19896;19897;19898;19899;19900;20254;20255;20256;20257;21075;21076;21077;21078;21079;21080;21081;21082;21083;21084;21085;21086;21087;21088;21089;21090;21091;21092;21093;21094;21095;22622;22623;23651;23652;23891;23892;23893;23894;23895;23896;23897;23898;23899;23900;23901;23902;23903;23904;23905;23906;23907;23908;23909;23910;23911;23912;23913;23914;23915;23916;23917;23918;23919;23920;23921;23922;23923;23924;23925;23926;23927;23928;23929;23930;23931;23932;23933;23934;23935;23936;23937;23938;23939;23940;23941;23942;23943;23944;23945;23946;23947;23948;23949;23950;23951;23952;26853;26854;26855;26856;26857;26858;26859;26860;26861;26862;26863;26864;26865;26866;26867;26868;26869;26870;26871;26872;26873;26874;26875;26876;26877;26878;26879;26880;26881;26882	58;729;1189;1215;3116;4333;4343;5027;5650;7874;15352;15611;16792;17349;17990;19229;19503;19898;20257;21085;22623;23652;23908;23936;23943;26862		
sp|B0UYF2|S7A14_DANRE	sp|B0UYF2|S7A14_DANRE	3	3	3		1	3	3	3	1	1	2	2	2	2	1	3	2	2	3	1	3	2	2	2	1	1	2	2	2	2	1	3	2	2	3	1	3	2	2	2	1	1	2	2	2	2	1	3	2	2	3	1	3	2	2	2	7.5	7.5	7.5	84.886	785	785	0	17.75	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	2.5	2.5	5	5	4.7	4.7	2.8	7.5	4.7	4.7	7.5	2.5	7.5	4.7	4.7	4.7	12233000	157850	284260	269030	498960	1309800	1284800	289300	512780	1499800	1390300	776990	265020	821420	929670	995690	946860	0	0	750090	1055700	1371200	1177200	0	496670	1393400	1070400	866810	0	742900	796350	833060	749910	0	2	1	0	1	2	0	2	1	2	1	2	2	0	0	0	16				100	208;2042;2517	True;True;True	212;2075;2553	2785;2786;2787;2788;2789;2790;27377;27378;27379;27380;27381;27382;27383;27384;27385;27386;27387;27388;33265;33266;33267;33268;33269;33270;33271;33272;33273;33274;33275;33276;33277	2094;2095;2096;21116;21117;21118;21119;21120;21121;25542;25543;25544;25545;25546;25547;25548;25549;25550	2095;21120;25543		
sp|B0V3F8|PRKRA_DANRE	sp|B0V3F8|PRKRA_DANRE	3	3	3		1	3	3	3	2	2	3	2	1	1	2	2	1	2	3	3	2	3	3	2	2	2	3	2	1	1	2	2	1	2	3	3	2	3	3	2	2	2	3	2	1	1	2	2	1	2	3	3	2	3	3	2	22	22	22	30.84	282	282	0	46.391	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	12.8	15.2	22	16	6	6	16	16	6	12.8	22	22	12.8	22	22	16	5845100	467780	292380	491670	562280	102170	69787	559190	408710	50783	324820	233690	428990	305880	344290	505390	697330	0	438110	500050	0	0	0	0	0	0	0	299840	430800	0	268810	465710	0	0	1	0	0	0	0	1	0	0	1	1	0	0	2	0	0	6				101	371;1760;2909	True;True;True	380;1785;2954	4945;4946;4947;4948;4949;4950;4951;4952;4953;4954;4955;4956;4957;23801;23802;23803;23804;23805;23806;23807;23808;23809;23810;23811;23812;39596;39597;39598;39599;39600;39601;39602;39603;39604;39605;39606;39607	3843;3844;3845;3846;3847;18780;18781;18782;18783;31679;31680;31681;31682;31683	3846;18782;31682		
sp|B3DJK0|TM160_DANRE	sp|B3DJK0|TM160_DANRE	1	1	1		1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	9.6	9.6	9.6	23.214	208	208	0	4.1662	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	9.6	0	0	0	0	9.6	0	0	9.6	9.6	0	0	9.6	9.6	0	0	736900	52047	0	0	0	0	129620	0	0	126690	158220	0	0	130300	140010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150710	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2				102	2012	TRUE	2044	26958;26959;26960;26961;26962;26963	20833;20834	20834		
sp|B3DJT0|SART3_DANRE	sp|B3DJT0|SART3_DANRE	2	2	2		1	2	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	5.3	5.3	5.3	109.73	951	951	0	46.223	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	2.6	2.6	2.6	5.3	5.3	2.6	2.6	2.6	5.3	2.6	2.6	2.6	2.6	2.6	2.6	2.6	3485700	275840	91903	295330	410860	396940	163440	373160	217740	177110	46102	86763	44079	232200	115820	169750	388650	0	0	0	0	0	0	0	0	172600	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	5				103	68;1764	True;True	69;1789	899;900;901;902;903;23836;23837;23838;23839;23840;23841;23842;23843;23844;23845;23846;23847;23848;23849	672;673;18789;18790;18791;18792;18793	673;18790		
sp|B7ZC77|CTNA2_DANRE	sp|B7ZC77|CTNA2_DANRE	25	25	25		1	25	25	25	15	13	17	18	14	16	16	15	16	15	16	16	17	19	20	15	15	13	17	18	14	16	16	15	16	15	16	16	17	19	20	15	15	13	17	18	14	16	16	15	16	15	16	16	17	19	20	15	50.5	50.5	50.5	95.855	865	865	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.3	21.8	31.6	36.3	29.4	32.5	29.5	30.4	30.9	30.8	28.8	32	32.4	37.9	42.3	31.2	107150000	5103800	3640900	8819300	7770500	5172100	6847300	7937800	6218900	7103200	6759900	7024300	6421300	6948200	7533400	7532700	6319300	5843500	4717600	8857900	8598700	6974300	5213500	8072600	7849700	5351200	6320500	6650700	6088000	5925200	6531800	7570300	7677300	12	9	13	12	8	10	8	11	12	11	13	11	8	10	17	3	168				104	107;117;285;400;401;700;1044;1107;1190;1243;1360;1514;1639;1644;1668;1837;1888;1991;2102;2211;2565;2638;2735;2884;2922	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	108;118;290;409;410;715;1060;1125;1209;1262;1379;1537;1664;1669;1693;1862;1913;2023;2136;2245;2603;2679;2777;2929;2967	1425;1426;1427;1428;1429;1430;1431;1548;1549;1550;1551;1552;1553;1554;1555;1556;1557;1558;1559;3832;3833;3834;3835;5277;5278;5279;5280;5281;5282;5283;5284;5285;5286;5287;5288;5289;5290;5291;5292;5293;5294;5295;5296;5297;5298;5299;5300;5301;5302;5303;5304;5305;5306;9188;9189;9190;9191;9192;9193;13888;13889;13890;13891;13892;13893;13894;13895;13896;13897;13898;13899;13900;13901;14872;14873;14874;14875;14876;14877;14878;14879;14880;14881;16072;16073;16074;16075;16076;16077;16078;16079;16080;16081;16082;16083;16084;16085;16086;16848;16849;16850;16851;16852;18499;18500;18501;18502;18503;18504;18505;18506;18507;18508;18509;18510;18511;18512;18513;18514;18515;18516;18517;18518;20573;20574;20575;20576;20577;20578;20579;20580;20581;20582;20583;20584;20585;20586;20587;20588;22351;22352;22353;22354;22355;22356;22357;22358;22359;22360;22361;22362;22363;22364;22365;22366;22367;22368;22369;22370;22371;22372;22373;22374;22375;22376;22377;22378;22420;22421;22422;22423;22424;22425;22426;22667;22668;22669;22670;22671;24729;24730;24731;24732;24733;24734;24735;24736;24737;24738;24739;24740;24741;24742;24743;24744;24745;24746;24747;24748;24749;24750;24751;24752;24753;24754;24755;24756;24757;24758;24759;24760;25281;26710;26711;26712;26713;26714;26715;26716;26717;26718;26719;26720;28147;28148;28149;28150;28151;28152;28153;28154;28155;29423;29424;29425;33995;33996;33997;33998;33999;34000;34001;34002;35025;35026;35027;35028;35029;35030;35031;35032;35033;35034;35035;35036;35037;35038;35039;35040;36340;36341;36342;36343;36344;36345;36346;36347;36348;36349;36350;36351;36352;36353;36354;38230;38231;38232;38233;38234;38235;38236;38237;38238;38239;38240;38241;38242;38243;38244;38245;39757;39758;39759;39760	1088;1089;1090;1091;1092;1202;1203;1204;1205;1206;1207;1208;2995;2996;2997;4040;4041;4042;4043;4044;4045;4046;4047;4048;4049;4050;4051;4052;4053;4054;7060;7061;11340;11341;11342;11343;11344;11345;11346;11347;11348;12105;12106;12107;12108;12109;12110;12111;13014;13015;13016;13017;13018;13019;13020;13021;13022;13023;13024;13025;13026;13027;13523;14951;14952;14953;14954;14955;14956;14957;16249;16250;16251;16252;16253;16254;16255;16256;16257;16258;16259;16260;16261;16262;16263;16264;17708;17709;17710;17711;17712;17713;17714;17715;17716;17717;17718;17719;17720;17721;17722;17723;17724;17725;17726;17727;17728;17729;17730;17731;17732;17758;17759;17760;17914;17915;19301;19302;19303;19304;19305;19306;19307;19308;19309;19310;19311;19312;19313;19314;19631;20682;20683;20684;20685;20686;20687;21698;22696;22697;22698;26066;26067;26068;26069;26070;26071;26072;27017;27018;27019;27020;27021;27022;27023;27024;27025;27026;27027;27028;27029;27030;27031;27032;27033;27034;27035;27036;27037;28008;28009;28010;28011;28012;28013;28014;28015;28016;29244;29245;29246;29247;29248;29249;29250;29251;29252;29253;29254;29255;31765	1090;1207;2996;4042;4053;7061;11342;12106;13022;13523;14951;16258;17710;17760;17915;19311;19631;20687;21698;22697;26066;27034;28009;29247;31765		
sp|B8JMH0|CAF17_DANRE	sp|B8JMH0|CAF17_DANRE	2	2	2		1	2	2	2	1	0	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	0	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	0	2	2	1	1	2	2	1	1	1	1	1	1	1	1	6.5	6.5	6.5	39.045	354	354	0.005386	3.335	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	3.1	0	6.5	6.5	3.1	3.1	6.5	6.5	3.1	3.1	3.1	3.1	3.1	3.1	3.1	3.1	4502100	176270	0	380060	364070	160180	329370	416440	401130	378500	366940	253020	237630	293260	386150	214950	144110	0	0	0	0	0	0	0	414110	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	6				105	1687;2531	True;True	1712;2568	22880;22881;22882;22883;33482;33483;33484;33485;33486;33487;33488;33489;33490;33491;33492;33493;33494;33495;33496	18051;25756;25757;25758;25759;25760;25761	18051;25759		
sp|E7FBU4|MMS19_DANRE	sp|E7FBU4|MMS19_DANRE	5	5	5		1	5	5	5	4	1	3	3	1	2	3	3	1	3	3	4	4	2	3	4	4	1	3	3	1	2	3	3	1	3	3	4	4	2	3	4	4	1	3	3	1	2	3	3	1	3	3	4	4	2	3	4	7.3	7.3	7.3	113.55	1043	1043	0	14.37	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	5.5	1.7	3.9	3.9	1.2	2.9	3.9	3.9	1.2	3.9	3.9	5.8	5.5	2.9	3.9	5.5	6299700	544240	186570	568450	579720	148020	261250	565110	367070	176840	346000	325910	545530	559930	236270	379250	509560	392060	0	653950	574210	0	352160	554700	436020	0	370080	498750	516100	351020	322590	415690	364370	1	0	3	3	1	1	1	2	1	1	3	4	0	1	1	0	23				106	164;365;698;1000;2674	True;True;True;True;True	166;374;713;1016;2715	2157;2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;4871;4872;4873;9172;9173;9174;9175;9176;9177;9178;9179;9180;9181;9182;9183;9184;9185;9186;13356;35408;35409;35410;35411;35412;35413;35414;35415;35416;35417;35418;35419;35420;35421	1558;1559;1560;1561;1562;1563;3787;7050;7051;7052;7053;7054;7055;7056;7057;7058;10865;27276;27277;27278;27279;27280;27281	1559;3787;7057;10865;27280		
sp|F1Q575|NNRD_DANRE	sp|F1Q575|NNRD_DANRE	1	1	1		1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	3.6	3.6	3.6	35.873	330	330	0.0053097	3.247	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	3.6	3.6	3.6	3.6	0	3.6	3.6	3.6	0	0	3.6	3.6	3.6	3.6	0	3.6	580160	48524	45590	89145	45890	0	50864	63830	25511	0	0	53168	57206	48909	13362	0	38157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35331	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2				107	1575	TRUE	1598	21411;21412;21413;21414;21415;21416;21417;21418;21419;21420;21421;21422	16986;16987;16988;16989;16990;16991	16987		
sp|F1Q8X5|FERM2_DANRE	sp|F1Q8X5|FERM2_DANRE	5	5	5		1	5	5	5	4	2	1	2	3	3	3	2	3	2	3	2	2	2	3	4	4	2	1	2	3	3	3	2	3	2	3	2	2	2	3	4	4	2	1	2	3	3	3	2	3	2	3	2	2	2	3	4	11.3	11.3	11.3	78.476	684	684	0	10.027	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	8.5	3.5	2	3.5	6.4	6.4	5.7	4.2	6.4	3.7	5.7	4.2	3.7	3.7	5.7	8.5	5479000	619810	201220	63169	119760	395170	711380	330240	266460	674890	215050	272680	253720	230630	192890	386730	545210	520290	0	0	0	382890	481270	317280	398890	461770	345910	283140	402830	366730	350840	356920	421390	1	0	0	0	0	0	1	0	1	1	2	0	0	0	2	0	8				108	759;856;1645;1980;2533	True;True;True;True;True	774;871;1670;2012;2570	9949;9950;9951;11302;11303;11304;11305;11306;11307;11308;11309;11310;11311;22427;22428;22429;22430;22431;22432;22433;22434;22435;22436;22437;22438;22439;26558;26559;26560;26561;26562;26563;26564;26565;26566;26567;26568;26569;26570;33513;33514	7684;9310;9311;17761;17762;17763;20584;25766	7684;9310;17761;20584;25766		
sp|F1QCC6|GPC1_DANRE	sp|F1QCC6|GPC1_DANRE	4	4	4		1	4	4	4	2	2	2	1	2	3	2	3	3	3	3	3	3	1	3	2	2	2	2	1	2	3	2	3	3	3	3	3	3	1	3	2	2	2	2	1	2	3	2	3	3	3	3	3	3	1	3	2	9.2	9.2	9.2	61.295	554	554	0	13.159	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	4.5	4	4.5	2.5	4	6.7	4.5	7.2	6.7	6.7	7.2	7.2	6.7	2.7	7.2	4.5	9178000	383880	420200	405130	239280	519580	934900	501790	547460	834410	942620	605680	598470	777760	180230	746840	539800	0	0	0	0	0	0	0	0	0	0	756550	0	0	0	704770	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	4				109	78;1517;2326;2468	True;True;True;True	79;1540;2361;2503	1033;1034;1035;1036;1037;1038;1039;1040;1041;20630;20631;20632;20633;20634;20635;30716;30717;30718;30719;30720;30721;30722;30723;30724;30725;30726;30727;30728;30729;32627;32628;32629;32630;32631;32632;32633;32634;32635;32636;32637;32638	732;16298;23576;25135;25136;25137	732;16298;23576;25137		
sp|F1QGH9|PS11B_DANRE	sp|F1QGH9|PS11B_DANRE	6	5	5		1	6	5	5	4	3	4	4	3	4	4	5	3	4	6	4	4	3	4	3	3	2	4	4	2	3	4	4	2	3	5	4	3	2	3	2	3	2	4	4	2	3	4	4	2	3	5	4	3	2	3	2	17.1	14.2	14.2	47.576	422	422	0	36.293	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	13.7	9.2	14	10.4	10	13	14	14	10.4	13.7	17.1	11.1	13	10	13.7	10	11904000	554900	422200	1314300	1433100	520570	770390	1220300	866220	354080	598880	988790	813480	690440	391740	584960	379640	428380	584600	931850	768300	596820	754470	543720	643350	1563800	1320300	910900	621540	633440	672920	592340	552920	1	0	2	0	0	1	1	1	2	1	4	1	0	0	1	0	15				110	587;633;1253;2261;2484;3050	True;True;True;True;False;True	600;647;1272;2295;2519;3096	7683;7684;7685;7686;7687;7688;7689;7690;7691;7692;7693;7694;7695;7696;7697;8339;8340;8341;8342;8343;8344;8345;16980;16981;16982;16983;16984;16985;16986;16987;16988;29951;29952;29953;29954;32862;32863;32864;32865;32866;32867;32868;32869;32870;32871;32872;32873;41303;41304;41305;41306;41307;41308;41309;41310;41311;41312;41313;41314;41315;41316;41317;41318;41319;41320;41321;41322;41323;41324;41325;41326;41327;41328;41329;41330;41331	5863;5864;5865;6371;13646;13647;13648;23004;25298;32872;32873;32874;32875;32876;32877;32878;32879;32880	5865;6371;13647;23004;25298;32876		
sp|F1QH17|MCA3A_DANRE	sp|F1QH17|MCA3A_DANRE	4	4	4		1	4	4	4	1	0	1	2	2	2	1	2	3	3	2	2	1	1	1	1	1	0	1	2	2	2	1	2	3	3	2	2	1	1	1	1	1	0	1	2	2	2	1	2	3	3	2	2	1	1	1	1	2.7	2.7	2.7	222.81	1994	1994	0	19.975	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	0.7	0	0.7	1.5	1.2	1.2	0.7	1.5	2	2.1	1.5	1.5	0.7	0.7	0.7	0.7	3717500	0	0	183390	268040	245080	297970	185220	279690	703620	647640	241670	276310	22738	50451	162290	153410	0	0	0	273030	317090	356860	0	364410	436700	476150	359510	368700	0	0	0	0	1	0	1	3	1	2	1	0	1	2	1	0	0	1	0	0	14				111	299;398;721;2138	True;True;True;True	304;407;736;2172	3997;3998;3999;4000;4001;4002;5271;5272;5273;9404;9405;9406;9407;9408;9409;9410;9411;9412;9413;9414;9415;9416;28622;28623;28624	3105;4038;7238;7239;7240;7241;7242;7243;7244;7245;7246;7247;22068;22069	3105;4038;7239;22069		
